Price,Close,High,Low,Open,Volume,Year,Month,Day
Ticker,GS,GS,GS,GS,GS,,,
Date,,,,,,,,
2023-09-25,316.8763732910156,317.3100134737452,313.44589303358083,315.170778759744,833300,2023,9,25
2023-09-26,312.03900146484375,315.5176507111098,310.6899412226257,313.7638576925725,1481800,2023,9,26
2023-09-27,310.237060546875,313.17608589776086,307.37511175484,313.1568241098756,1493000,2023,9,27
2023-09-28,313.3687744140625,314.94909359565816,308.5602976962179,308.5602976962179,1389600,2023,9,28
2023-09-29,311.7980651855469,316.0283353812195,310.5453434104778,315.2960052710163,1403900,2023,9,29
2023-10-02,306.91253662109375,311.8077063695871,305.5634764075174,310.3141092415753,1303800,2023,10,2
2023-10-03,294.98291015625,304.19510127705894,293.31586886092396,303.80001413687575,3118600,2023,10,3
2023-10-04,297.37274169921875,297.8159980746218,292.4390185774702,293.7591715134878,1872000,2023,10,4
2023-10-05,299.2035827636719,299.2517519319511,293.1424133844296,296.17780616868663,1584600,2023,10,5
2023-10-06,301.1115417480469,303.8482149616767,295.9947294870012,296.90050388930734,1595100,2023,10,6
2023-10-09,301.2367858886719,302.0751587434699,297.1510525779905,297.6617692418257,1094400,2023,10,9
2023-10-10,303.3182373046875,305.3225806006668,300.9284818305764,303.02916346743467,1193800,2023,10,10
2023-10-11,301.63189697265625,305.110575564849,300.2635749680175,303.9542214306044,1672500,2023,10,11
2023-10-12,298.5772705078125,302.81718705448003,296.81383175711045,302.72081929965145,1727700,2023,10,12
2023-10-13,298.0472717285156,304.6769735252505,296.9584072281177,300.649054152374,1785200,2023,10,13
2023-10-16,302.9520568847656,304.40710093112517,298.9626618822566,301.7860572397009,2273900,2023,10,16
2023-10-17,298.1050720214844,304.6769587257808,294.7806050939389,301.97883808249964,4123000,2023,10,17
2023-10-18,290.97430419921875,296.04294814194293,290.5117860283487,295.8309508445242,3460300,2023,10,18
2023-10-19,288.30511474609375,294.2313645590732,287.7654905639003,290.9743282689904,3211800,2023,10,19
2023-10-20,289.1337890625,292.21738077090424,287.2547501776089,287.640191789332,2328700,2023,10,20
2023-10-23,288.3340148925781,292.50647130498027,287.34148871733066,287.4378564775833,2959800,2023,10,23
2023-10-24,288.29547119140625,292.07286990085146,288.1991034280502,289.08564568068846,1697100,2023,10,24
2023-10-25,285.9635009765625,289.0856162214147,284.2964300030542,287.73655589384333,1809300,2023,10,25
2023-10-26,286.18511962890625,289.22054217988523,284.0555304516708,286.15621224305454,2011200,2023,10,26
2023-10-27,279.3626708984375,287.4185082513503,278.83266302586856,286.72470168543344,2601700,2023,10,27
2023-10-30,289.8853759765625,290.8297328090375,282.6197127685282,282.7738952763184,3065200,2023,10,30
2023-10-31,292.5642395019531,293.2195225229595,289.7601351540178,290.70446259514137,2611000,2023,10,31
2023-11-01,295.9851379394531,297.0354788450971,291.8222978935046,292.29446166932615,2345400,2023,11,1
2023-11-02,302.3450012207031,303.096622601818,296.7945483095114,298.42306620314497,2597000,2023,11,2
2023-11-03,315.7007751464844,317.34855500091277,306.36330695920526,306.87402372846367,3740800,2023,11,3
2023-11-06,312.125732421875,316.93418025946335,310.3815849510633,314.77568381101315,2087600,2023,11,6
2023-11-07,312.164306640625,314.51553874934996,309.601077230054,310.41051345329055,1505000,2023,11,7
2023-11-08,312.7520751953125,314.7756802967969,311.8944698652936,312.1642819183376,1484400,2023,11,8
2023-11-09,309.1095886230469,314.76602537969615,308.0303404428265,314.1396791401726,1787900,2023,11,9
